event,ideology,text
Education Secretary Says Federal Student Loan Pause Will Soon End,center,"Education Secretary Miguel Cardona confirmed this week that the Department of Education is preparing to restart student loan payments later this year.
“The emergency period is over, and we’re preparing our borrowers to restart,” Cardona said at a Senate Appropriations hearing on Thursday, as the national COVID-19 public health emergency was set to expire at midnight.
Cardona reiterated that the Biden administration plans to restart student loan payments no later than 60 days after June 30, despite some speculation that the pause would be extended for a 10th time.
The timing hinges on the..."
Education Secretary Says Federal Student Loan Pause Will Soon End,conservative,"The Education Department is ""preparing to restart"" federal student loan debt repayments after a three-year pause now that the COVID-19 pandemic emergency has ended, Secretary Miguel Cardona told lawmakers this week.
Cardona revealed the administration's intentions at a Senate Appropriations Committee hearing on Thursday, when Sen. Katie Britt, R-Ala., asked him why the government should forgive student loan borrowers when President Biden is demanding that Congress pay its debt obligations in arguments with Republicans over the debt limit.
Britt, a first-term senator, cited remarks about the federal debt made Monday by White House..."
Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,liberal,"The Biden administration has handled the Ukraine crisis intelligently and effectively, formulating a policy that could be described as “deterrence plus diplomacy.” It made credible threats about the costs of a Russian invasion and rallied its European allies in an impressive show of unity. And while (correctly) refusing to promise that Ukraine will be barred from NATO, it has offered to discuss almost everything else, from arms control to missile deployments.
This crisis, however, has highlighted a larger strategic failure, one that extends beyond this administration. One of the central rules of strategy is to divide your adversaries...."
Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,center,"As Russia threatens the largest land invasion in Europe since World War II, the most consequential strategic question of the 21st century is becoming clear: How can the United States manage two revisionist, autocratic, nuclear-armed great powers (Russia and China) simultaneously? The answer, according to many politicians and defense experts, is that Washington must moderate its response to Russia in Europe to focus on the greater threat posed by China in the Indo-Pacific.
This would be a mistake.
The United States remains the world’s leading power with global interests, and it cannot afford..."
Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,conservative,"It’s been more than 75 years since the U.S. last faced an axis of strategic threats. Fortunately, that axis proved dysfunctional. Had it been otherwise, Japan and Germany would have systematically attacked the Soviet Union, not America, first.
Our current strategic adversaries, Russia and China, aren’t an axis. They’ve formed an entente, tighter today than any time since de-Stalinization split the communist world. Involving some mutual interests and objectives, displays of support, and coordination, ententes are closer than mere bilateral friendships but discernibly looser than full alliances. The pre-World War..."
Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,liberal,"The Biden administration is taking executive action to protect undocumented spouses of American citizens — a move that would shield about 500,000 immigrants from deportation.
The White House announced the election-year policy Tuesday, framing it as “new action to keep families together.” NBC News reported that an executive action protecting the spouses was likely to be announced soon, after urging from immigration advocates and Democratic lawmakers and as President Joe Biden courts Latino voters in crucial battleground states.
Lawmakers have been briefed on the plan and at least some have been invited to the..."
Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,center,"The Biden administration will allow certain undocumented immigrants married to U.S. citizens to stay in the country and work legally, expanding a program that’s currently used to provide papers to immediate family of military servicemembers.
The Tuesday morning announcement comes amid the 12-year anniversary celebration of the Deferred Action for Childhood Arrivals (DACA) program, which President Biden will celebrate at the White House later in the day with immigrant advocacy and Latino leaders.
Biden’s move comes weeks after the administration adopted a crackdown on asylum at the U.S.-Mexico border that angered the same groups the new..."
Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,conservative,"President Joe Biden is unveiling new actions Tuesday that will speed a pathway to legal residency for about 500,000 undocumented people living in the United States.
Biden’s announcement, made days after the 12th anniversary of the Deferred Action for Childhood Arrivals program, comes just weeks after the president signed an executive order that will forcibly close the southern border and allow the federal government to expand deportation procedures for incoming immigrants when crossings reach a certain threshold, a policy that drew sharp condemnation from immigration activists and members of his own party.
Biden’s..."
"Youngkin Wins in Virginia, Tight Race in New Jersey",liberal,"Virginia voters chose Republican Glenn Youngkin as their next governor, a dramatic reversal for a state that had appeared solidly Democratic in recent years and a significant loss for President Biden and the party’s establishment.
Former Democratic governor Terry McAuliffe came up short in his bid to become only the second Virginia governor since the Civil War to win a second term, with key suburban districts joining rural parts of the state in favoring Youngkin by a narrow margin.
Republicans appeared to sweep the other statewide races, with Winsome Sears winning for lieutenant governor..."
"Youngkin Wins in Virginia, Tight Race in New Jersey",center,"Republicans pushed Democrats out of the Virginia governorship and had a far stronger-than-expected showing in heavily Democratic New Jersey on Wednesday, signaling trouble for President Joe Biden's party heading into next year's congressional elections.
Republican Glenn Youngkin, a former private equity executive, claimed victory over Democratic former Governor Terry McAuliffe in Tuesday's vote after distancing himself just enough from former President Donald Trump to win back moderates who had supported Biden just a year ago.
In New Jersey, Republican challenger Jack Ciattarelliperformed far better than expected against incumbent Democrat Phil Murphy,even..."
"Youngkin Wins in Virginia, Tight Race in New Jersey",conservative,"Republican Glenn Youngkin's shocking defeat of Democrat Terry McAuliffe Tuesday in the Virginia gubernatorial contest will almost certainly serve as a blueprint for Republicans in the post-Trump era.
Youngkin’s victory was consistent with late October polls that showed him burning through McAuliffe’s summer lead and claiming a modest advantage on the strength of his message about education and the economy.
Rising prices and drama at school board meetings created the ideal backdrop for Youngkin’s devotion to the kitchen-table issues that McAuliffe was widely perceived as having ignored, as he focused more on..."
"Second Whistleblower Emerges in Trump-Ukraine Controversy, According to Attorneys of First",liberal,"Mark Zaid, the attorney representing the whistleblower who sounded the alarm on President Donald Trump's dealings with Ukraine and triggered an impeachment inquiry, tells ABC News that he is now representing a second whistleblower who has spoken with the inspector general.
Zaid tells ABC News' Chief Anchor George Stephanopoulos that the second person -- also described as an intelligence official -- has first-hand knowledge of some of the allegations outlined in the original complaint and has been interviewed by the head of the intelligence community's internal watchdog office, Michael Atkinson...."
"Second Whistleblower Emerges in Trump-Ukraine Controversy, According to Attorneys of First",center,"WASHINGTON—The legal team representing the Central Intelligence Agency officer behind the complaint that helped spark an impeachment inquiry into President Trump is now advising “multiple whistleblowers,” the attorneys said Sunday.
The existence of at least one additional whistleblower could complicate President Trump’s efforts to counter the impeachment proceedings building against him in Congress. Mr. Trump repeatedly has sought to attack the credibility and motive of the first individual who filed a formal whistleblower complaint in August.
“I can confirm that my firm and my team represent multiple whistleblowers,” Andrew Bakaj,..."
"Second Whistleblower Emerges in Trump-Ukraine Controversy, According to Attorneys of First",conservative,"An attorney has said that a second whistleblower has come forward to speak with the intelligence community inspector general about President Trump’s dealings with Ukraine, including issues surrounding a controversial July 25 phone call between Trump and Ukrainian President Volodymyr Zelensky.
The second whistleblower, whose existence was first reported Sunday, is said to be an intelligence official who is represented by Andrew Bakaj and Mark Zaid, the same attorneys representing the first whistleblower. Zaid said the second whistleblower has firsthand knowledge of the events detailed in the first whistleblower's complaint..."
Meta Says It Mistakenly Censored Trump Assassination Photo,liberal,"Donald Trump lashed out at Facebook Tuesday after the social media company apologized for fact-checking a photograph of the assassination attempt he faced earlier this month.
Trump accused both Facebook and Google of plotting against his presidential reelection bid by censuring photographs of the bloody and deadly attack in Butler, Pennsylvania, on July 13.
""Facebook has just admitted that it wrongly censored the Trump 'attempted assassination photo,' and got caught,"" Trump wrote. ""Same thing for Google. They made it virtually impossible to find pictures or anything about this heinous act."""
Meta Says It Mistakenly Censored Trump Assassination Photo,center,"Facebook apologized for mistakenly censoring a real photo of a bloodied Donald Trump post-assassination attempt, after initially targeting doctored images showing Secret Service agents smiling. The error occurred during an effort to remove a manipulated photo meant to spread misinformation. Facebook, owned by Meta, rectified the mistake, affirming the authenticity of the original photo captured by an Associated Press photographer, depicting Trump raising his fist after being shot. Meta’s action followed scrutiny and a fact-check confirming no agents were smiling, aimed at cleaning up misinformation on its platform."
Meta Says It Mistakenly Censored Trump Assassination Photo,conservative,"Facebook acknowledged that it mistakenly censored the iconic image of former President Donald Trump with his fist raised in the immediate aftermath of the July 13 assassination attempt in Pennsylvania.
A post on Mark Zuckerberg’s social media site by a user with the handle End Wokeness that showed the Republican presidential candidate defiantly pumping his fist in the air while blood streams down his face had initially been flagged as misinformation.
The user was threatened with being deplatformed.
However, on Monday, Dani Lever, a spokesperson for the social network’s parent company, Meta, admitted..."
Tracking Abortion Protests in Response to Supreme Court's Roe v Wade Leak,liberal,"With the Supreme Court poised to overturn abortion protections, people took to the streets in cities across the country to protest for the right to safe, accessible abortion care for all.
Within hours of Politico’s reporting on a leaked draft Supreme Court opinion on Monday, people flooded the steps of the Supreme Court in Washington, D.C., protesting against the court’s apparent plan to overturn the landmark abortion protections of Roe v. Wade.
By late Tuesday, hundreds more had gathered outside the nation’s highest court.
Queer activists — whose rights to same-sex marriage and consensual sex are also..."
Tracking Abortion Protests in Response to Supreme Court's Roe v Wade Leak,center,"Some social media users frustrated with the recent leaked opinion from the Supreme Court regarding the potential overturn of Roe v. Wade have called for a Mother's Day Strike.
On Tuesday a leaked draft opinion showed the Supreme Court was preparing to strike down Roe v. Wade, the 1973 landmark ruling that guarantees abortion rights.
Such a bombshell ruling could instantly make abortion illegal in at least 13 states with legal access to abortion varying widely across the country.
Following the leak, many people took to the streets to protest outside the Supreme Court in Washington. And now, multiple people..."
Tracking Abortion Protests in Response to Supreme Court's Roe v Wade Leak,conservative,"Left-wing activist groups are planning to send protesters to the homes of conservative Supreme Court justices following a leak indicating the court may soon overturn Roe v. Wade.
The activists are organizing under the moniker ""Ruth Sent Us"" and have published the supposed home addresses of Justices Amy Coney Barrett, John Roberts, Samuel Alito, Brett Kavanaugh, Clarence Thomas and Neil Gorsuch.
""Our 6-3 extremist Supreme Court routinely issues rulings that hurt women, racial minorities, LGBTQ+ and immigrant rights,"" the group's website reads. ""We must rise up to force accountability using a..."
US Intel: Putin Likely Did Not Directly Order Navalny's Death,liberal,"Russia has dismissed a report claiming Vladimir Putin did not order the killing of famed dissident Alexei Navalny, who died in an Arctic prison in February.
Dmitry Peskov, Putin’s spokesman, told Russia’s state-run media on Saturday that he had seen the Wall Street Journal report, which cited an assessment by U.S. intelligence agencies, and that there was little reason to believe it. He derided its logic and said it wasn’t worth looking into.
“I would not say that this is high-quality material that deserves any attention. Some very empty reasoning,” Peskov said.
The Kremlin’s rejection of the U.S. report oddly..."
US Intel: Putin Likely Did Not Directly Order Navalny's Death,center,"U.S. intelligence agencies signal that Russian President Vladimir Putin may not have planned for Alexei Navalny to have died when he did, a new report said.
The Wall Street Journal report said U.S. agencies have determined that Putin likely didn’t order Navalny to be killed in February, but it doesn’t entirely excuse him from responsibility.
The determination has been shared and agreed upon by officials at the Central Intelligence Agency, the Office of the Director of National Intelligence and the State Department’s intelligence unit.
Navalny, a Russian opposition leader, rose to prominence for..."
US Intel: Putin Likely Did Not Directly Order Navalny's Death,conservative,"US intelligence officials do not think Russian President Vladimir Putin is responsible for the death Alexei Navalny, according to a report slammed by one critic as “absurd.”
Alexei Navalny was found dead in a notorious Arctic penal colony in February, sparking worldwide outrage over the loss of the opposition leader who was widely seen as Putin’s strongest critic.
But various US agencies — including the Central Intelligence Agency, the Office of the Director of National Intelligence, and the State Department’s intelligence unit — agree Russia’s strongman is likely not directly to blame, people familiar with..."
Arson at Tesla’s Germany Factory Highlights Split Between Environmentalism and Renewables,liberal,"A group of left-wing extremists has claimed responsibility for the suspected arson attack that shut down the Tesla Gigafactory outside of Berlin on Tuesday.
The group, which calls itself “Vulkangruppe Tesla Abschalten” (also known as “Vulcan Group” or “Volcano Group”), said in a statement posted to Kontrapolis.info that it aimed to cause “the largest possible blackout of the Gigafactory,” citing environmental and labor concerns as motivations behind the attack. (Google Translate was used to translate the letter from German to English. All quotes in this article are from that translation.)
Production was halted..."
Arson at Tesla’s Germany Factory Highlights Split Between Environmentalism and Renewables,center,"After a far-left group set an electricity transmission tower near Tesla’s only German factory ablaze on Tuesday, the facility lost all power and was forced to halt production.
That pause was initially expected to last until next Monday, March 11. But now Tesla expects production to be suspended until the end of next week, Bild reports, due to issues repairing the sabotaged 30-meter tower.
Gigafactory Berlin-Brandenburg’s senior director, Andre Thierig, said Tuesday that he expects the incident to cost a “high nine-figure amount.” But that was when production was planned to resume on..."
Arson at Tesla’s Germany Factory Highlights Split Between Environmentalism and Renewables,conservative,"Tesla Founder Elon Musk directed criticism at a group who appeared to claim responsibility for a suspected arson attack Tuesday on Europe’s only Tesla factory in northeastern Germany.
“[U]nknown perpetrators deliberately set fire to a high-voltage pylon between Steinfurt and Hartmannsdorf in the early morning of March 5th,” the State of Brandenburg’s Interior Ministry said in a statement. “The fire damaged the high-voltage power line so much that the power supply to the surrounding towns and the nearby TESLA factory failed.”
Power outages from the suspected arson attack affected some 2,000..."
"DA in Trump Case Acknowledges Personal Relationship, Denies Wrongdoing",liberal,"Fulton County District Attorney Fani T. Willis (D) admitted she had a personal relationship with an outside prosecutor she appointed to manage the election interference case against former president Donald Trump and his allies but denied claims that the relationship had tainted the proceedings.
In a 176-page court filing on Friday, Willis called the claims against her “meritless” and “salacious.” She asked a judge to reject motions from Trump and other co-defendants that seek to disqualify her and her office from the case — and to do so without an evidentiary hearing. Willis denied..."
"DA in Trump Case Acknowledges Personal Relationship, Denies Wrongdoing",center,"Fulton County, Ga., District Attorney Fani Willis (D) acknowledged developing a “personal relationship” with the top prosecutor in former President Trump’s Georgia criminal case in a new court filing Friday, but she said it was no reason for her to step aside.
Trump co-defendant Michael Roman last month first accused Willis and special prosecutor Nathan Wade of having romantic ties, claiming it rendered the far-reaching Georgia election interference indictment “fatally defective.”
Wills responded to those accusations in court filings on Friday, writing that the motion is “salacious” and “designed to obtain” media attention. She offered a forceful defense of Wade as “a leader more..."
"DA in Trump Case Acknowledges Personal Relationship, Denies Wrongdoing",conservative,"Embattled Fulton County District Attorney Fani Willis admitted to having a “personal relationship” with lead prosecutor Nathan Wade but says this shouldn’t warrant tossing out the charges against former President Donald Trump and his co-defendants.
“In 2022, District Attorney Willis and I developed a personal relationship in addition to our professional association and friendship,” Wade wrote in an affidavit released by Willis’ office in court papers they filed Friday.
But the filing said there was no “personal relationship” at the time Wade was hired.
“Although District Attorney Willis and Special Prosecutor..."
Biden Admin Proposes Federal Safety Standards to Protect Workers From Heat,liberal,"President Joe Biden on Tuesday proposed a new rule to address excessive heat in the workplace, warning — as tens of millions of people in the U.S. are under heat advisories — that high temperatures are the country’s leading weather-related killer.
If finalized, the measure would protect an estimated 36 million U.S. workers from injuries related to heat exposure on the job — establishing the first major federal safety standard of its kind. Those affected by excessive heat in the workplace include farmworkers, delivery and construction workers, landscapers and indoor workers in warehouses, factories..."
Biden Admin Proposes Federal Safety Standards to Protect Workers From Heat,center,"The Biden administration plans to require employers to give workers shaded rest areas and water when temperatures soar, part of a proposed rule that comes as temperature records fall nationwide—as some states have prevented local governments from providing similar protections in recent months.
Under proposed regulations for the Occupational Safety and Health Administration, employers in the U.S. will be required to monitor their workers and provide access to shade, water and rest breaks, the White House said.
The new protections will be required when the heat index—what the temperature feels like with added humidity—reaches 80..."
Biden Admin Proposes Federal Safety Standards to Protect Workers From Heat,conservative,"The Biden administration is announcing new steps to combat extreme heat on Tuesday, including introducing the first federal safety standard addressing excessive heat in the workplace and allocating nearly $1 billion to help communities protect against natural disasters.
The Department of Labor’s Occupational Safety and Health Administration is proposing a rule that would enact workplace requirements aiming to protect workers from extreme heat, including requirements for identifying heat hazards, developing heat illness and emergency response plans, providing training to employees and supervisors, and implementing work practice standards such as rest breaks, access to shade..."
Federal Court Says Trump Not Immune In January 6 Case,liberal,"Former President Trump can be sued over his alleged role in inciting violence in the Jan. 6 insurrection on the Capitol, a federal appeals court ruled Friday.
Why it matters: The 2024 presidential candidate would not be protected by presidential immunity regarding remarks made before the attack because his re-election campaign was ""not an official presidential act,"" a three-judge panel on the U.S. Court of Appeals for the District of Columbia held.
""The Office of the Presidency as an institution is agnostic about who will occupy it next,"" Chief Judge Sri Srinivasan wrote. ""And campaigning to gain that..."
Federal Court Says Trump Not Immune In January 6 Case,center,"A federal judge on Friday rejected former President Trump’s argument that he is immune in his 2020 election subversion criminal case, while also denying his other constitutional defenses.
“Whatever immunities a sitting President may enjoy, the United States has only one Chief Executive at a time, and that position does not confer a lifelong ‘get-out-of-jail-free’ pass, Former Presidents enjoy no special conditions on their federal criminal liability,” U.S. District Judge Tanya Chutkan wrote in the 48-page ruling.
“Defendant may be subject to federal investigation, indictment, prosecution, conviction, and punishment for any..."
Federal Court Says Trump Not Immune In January 6 Case,conservative,"A federal judge in Washington, D.C. denied former President Trump's claim of presidential immunity on Friday and ruled against his request to drop the Jan. 6 case.
U.S. District Judge Tanya Chutkan of the District of Columbia, responding to Trump's claim that the Constitution grants him ""absolute immunity from criminal prosecution for actions performed within the ‘outer perimeter’ of his official responsibility,"" wrote that the former president doesn't have a ""lifelong ‘""get-out-of-jail-free’ pass.""
""Former Presidents enjoy no special conditions on their federal criminal liability. Defendant may be subject to federal investigation, indictment,..."
Feud Over Masks on Public Transportation Revives Politicized Mandate Debate,liberal,"I absolutely hate wearing a mask on long flights. I'm also appalled that masks are no longer required for air travel and on other forms of public transit.
On Monday, a federal judge in Florida ruled that the Biden administration's public transportation mask mandate was unenforceable. The US Centers for Disease Control and Prevention, US District Judge Kathryn Kimball Mizelle held, overstepped its authority in issuing the directive requiring masks on airplanes and other forms of mass transit.
This decision is particularly disastrous for older adults, the ill and the immunocompromised, who still face..."
Feud Over Masks on Public Transportation Revives Politicized Mandate Debate,center,"With the removal of the federal mask mandate on public transportation, whether and when to mask has become largely a personal choice.
Changes in the trajectory and impacts of the Covid-19 pandemic and shifts in messaging from authorities can make the decision harder.
Although much of the U.S. no longer requires people to wear masks in indoor public settings, there are still scenarios where wearing a mask could be beneficial, public-health and infectious-disease experts say. Factors that help determine whether you should consider masking include local Covid-19 levels, where you are going and your underlying health conditions, as well..."
Feud Over Masks on Public Transportation Revives Politicized Mandate Debate,conservative,"On Monday, a federal judge struck down the unpopular and ridiculous mask mandate for airplanes and other modes of public transportation .
Kathryn Kimball Mizelle, who sits on the U.S. District Court for the Middle District of Florida,  wrote that ""the [mandate] exceeded the CDC’s statutory authority, improperly invoked the good cause exception to notice and comment rulemaking, and failed to adequately explain its decisions. Because 'our system does not permit agencies to act unlawfully even in pursuit of desirable ends,' the Court declares unlawful and vacates the [mask mandate].""
Mizelle underscored the importance of the government following..."
Twitter Permanently Suspends Project Veritas Account,liberal,"Twitter permanently banned an account on Thursday belonging to Project Veritas, a conservative group founded by controversial activist James O'Keefe.
The decision followed what a Twitter (TWTR) spokesperson described to CNN Business as repeated violations of the platform's policies prohibiting sharing — or threats of sharing — other people's private information without consent.
Twitter declined to say what specific tweets may have triggered the enforcement action. But in a post on Project Veritas's public Telegram channel Thursday afternoon, the group said the suspension occurred after it published a video..."
Twitter Permanently Suspends Project Veritas Account,center,"Twitter permanently suspended an account belonging to Project Veritas on Thursday, citing repeat violations of the site's policies against publishing private information.
A Twitter spokesperson confirmed to The Hill that the main Project Veritas account was permanently suspended, while founder James O'Keefe had his account temporarily locked. Several recent tweets on O'Keefe's timeline appeared to have been deleted by Thursday afternoon.
Twitter did not immediately return a request for comment regarding private information shared by Veritas and O'Keefe.
Founded in 2010, Project Veritas is a right-wing group that routinely published..."
Twitter Permanently Suspends Project Veritas Account,conservative,"Twitter restricted journalist James O’Keefe’s Twitter account, as well as that of his founding organization Project Veritas on Thursday morning, citing violation of “rules against posting private information.”
This decision by Twitter comes after Project Veritas’s reporting on Facebook Vice President Guy Rosen saying the Big Tech platform intentionally “freezes,” via algorithms, comments where hate speech “may be.”
Project Veritas captured Rosen saying the following during a leaked internal Facebook call meeting. The clips were released Wednesday.
“We have a system that is able to freeze commenting on threads in..."
US Accuses Russia of Trying to Influence 2024 Election,liberal,"The Biden administration has accused Russia of carrying out a sustained disinformation campaign targeted at American voters and meant to influence the outcome of November’s presidential elections.
In its most direct accusation of election meddling to date, the US government accused the state-financed RT (formerly known as Russia Today) and other Russian state-backed media of spearheading a covert campaign of disinformation promoting pro-Kremlin views laundered through their online and television networks.
The treasury department also sanctioned the RT’s editor-in-chief, Margarita Simonyan, and nine other employees of the network over the campaign of disinformation around..."
US Accuses Russia of Trying to Influence 2024 Election,center,"The US has charged and sanctioned Russian state media executives and restricted Kremlin-linked broadcasters as it accused Moscow of a widespread campaign to interfere with the presidential election.
The justice, state and treasury departments announced coordinated actions on Wednesday to ""aggressively counter"" the alleged operations.
Attorney General Merrick Garland accused state broadcaster RT, formerly Russia Today, of paying a Tennessee firm $10m to ""create and distribute content to US audiences with hidden Russian government messaging"".
RT boss Margarita Simonyan was one of 10 people sanctioned for alleged attempts to harm..."
US Accuses Russia of Trying to Influence 2024 Election,conservative,"The Biden administration on Wednesday accused Russia of trying to influence the 2024 U.S. presidential election by targeting American voters through state-run media and other online platforms as part of a campaign referred to as ""doppelganger.""
Attorney General Merrick Garland, speaking alongside FBI Director Christopher Wray and Deputy Attorney General Lisa Monaco, said prosecutors have unsealed an indictment in the Southern District of New York of ""two Russian-based employees of RT, a Russian state-controlled media outlet"" that charges them with ""conspiring to commit money laundering and to violate the Foreign Agents Registration..."
‘President Musk?’: Democrats Criticize DOGE Influence After Spending Bill Fails,liberal,"Rep. Daniel Goldman (D-NY) accused President-elect Donald Trump of being Elon Musk’s “puppet” on Wednesday after Trump followed Musk’s lead in opposing House Speaker Mike Johnson’s (R-LA) continuing resolution to keep the government open.
“As the shadow Pres-Elect, Elon Musk is now calling the shots for House Rs on government funding while Trump hides in Mar-a-Lago behind his handlers,” Goldman wrote on X in reply to Musk declaring, “Absolutely, this bill should NOT pass. A new bill that isn’t an insane crime against the American people should be done in 33 days.”
Goldman added, “It increasingly seems like..."
‘President Musk?’: Democrats Criticize DOGE Influence After Spending Bill Fails,center,"Elon Musk’s aggressive push against a stopgap measure to prevent a government shutdown received mixed reactions from House Republicans, even as it seemingly ended in success with President-elect Trump and Vice President-elect Vance announcing their own opposition to the measure.
Musk and Vivek Ramaswamy, the co-leaders of Trump’s “Department of Government Efficiency” (DOGE), fired off a series of posts online Wednesday railing against the more than 1,500-page stopgap spending deal released just days ahead of the Dec. 20 shutdown deadline.
The tech entrepreneurs argued the deal goes against the goals of their DOGE panel,..."
‘President Musk?’: Democrats Criticize DOGE Influence After Spending Bill Fails,conservative,"House Democrats on Thursday fumed over the spending bill drama and what they characterized as the outsize influence of Elon Musk and others in President-elect Trump’s orbit, after a bipartisan plan brokered by House Speaker Mike Johnson, R-La., collapsed just hours earlier.
Speaking to reporters outside a leadership meeting on Thursday, House Democrats expressed disappointment in Republicans for walking away from the negotiated argument, and many accused them of appearing to take cues from Musk.
Rep. Jerry Nadler, D-N.Y., labeled the billionaire X owner ""President Musk"" while speaking to reporters..."
