care_harm,fairness_cheating,loyalty_betrayal,authority_subversion,sanctity_degradation,liberty_oppression,event,ideology
0,0,0,5,0,0,House Republicans Launch Investigation Into Biden Family,center
0,0,0,0,0,8,House Republicans Launch Investigation Into Biden Family,conservative
0,2,0,0,0,0,What Did Republicans Reveal About the Alleged Biden Family Briery Scheme?,liberal
0,0,0,0,0,0,What Did Republicans Reveal About the Alleged Biden Family Briery Scheme?,center
0,0,0,8,0,0,What Did Republicans Reveal About the Alleged Biden Family Briery Scheme?,conservative
5,0,0,0,0,0,Justice Department Will Review Police Response To Uvalde School Shooting,liberal
0,0,0,5,0,0,Justice Department Will Review Police Response To Uvalde School Shooting,center
5,0,0,0,0,0,Justice Department Will Review Police Response To Uvalde School Shooting,conservative
0,0,5,0,0,0,Media Emphasizes Trump’s Off-Message Tangents During Economic Policy Speech,liberal
0,2,0,5,0,0,Media Emphasizes Trump’s Off-Message Tangents During Economic Policy Speech,center
0,0,0,0,0,2,Media Emphasizes Trump’s Off-Message Tangents During Economic Policy Speech,conservative
2,0,5,5,0,0,China Terminates Cooperation with US After Pelosi's Taiwan Visit,liberal
0,0,0,8,0,5,China Terminates Cooperation with US After Pelosi's Taiwan Visit,center
0,0,0,8,0,5,China Terminates Cooperation with US After Pelosi's Taiwan Visit,conservative
5,0,0,0,0,0,US Intelligence Reportedly Warned of Possible Taliban Takeover,liberal
5,3,4,6,0,2,US Intelligence Reportedly Warned of Possible Taliban Takeover,center
0,0,0,5,0,0,US Intelligence Reportedly Warned of Possible Taliban Takeover,conservative
2,0,0,0,0,0,Fauci COVID-19 Hearing Provides Platform for Partisan Drama,liberal
0,0,0,2,0,0,Fauci COVID-19 Hearing Provides Platform for Partisan Drama,center
0,2,5,8,0,0,Fauci COVID-19 Hearing Provides Platform for Partisan Drama,conservative
2,0,0,0,0,0,Federal Judge Reverses California Ban on Assault Weapons,liberal
0,0,0,0,0,5,Federal Judge Reverses California Ban on Assault Weapons,center
0,0,0,0,0,0,Federal Judge Reverses California Ban on Assault Weapons,conservative
0,0,0,0,0,0,US Military Conducts 'Routine Intercept' of Russian Warplanes,liberal
0,0,0,0,0,0,US Military Conducts 'Routine Intercept' of Russian Warplanes,center
0,0,0,5,0,0,US Military Conducts 'Routine Intercept' of Russian Warplanes,conservative
5,0,0,0,0,0,Did News Agencies Use Photos From Pro-Hamas Journalists in Coverage of Israel Attacks?,liberal
8,2,0,0,0,0,Did News Agencies Use Photos From Pro-Hamas Journalists in Coverage of Israel Attacks?,center
0,0,0,8,0,0,Did News Agencies Use Photos From Pro-Hamas Journalists in Coverage of Israel Attacks?,conservative
0,5,0,0,0,0,Full Transcript of Devon Archer House Testimony Released,liberal
0,2,0,0,0,0,Full Transcript of Devon Archer House Testimony Released,center
0,0,0,5,0,0,Full Transcript of Devon Archer House Testimony Released,conservative
5,0,0,8,0,0,Taliban Victories Raise Fears of Complete Afghanistan Takeover,liberal
5,0,0,8,0,0,Taliban Victories Raise Fears of Complete Afghanistan Takeover,center
5,0,0,5,0,0,Taliban Victories Raise Fears of Complete Afghanistan Takeover,conservative
0,2,8,5,0,5,"Manchin's Election Bill Compromise Praised by Abrams, Rejected by McConnell",liberal
0,0,0,8,0,0,"Manchin's Election Bill Compromise Praised by Abrams, Rejected by McConnell",center
0,0,0,8,0,0,"Manchin's Election Bill Compromise Praised by Abrams, Rejected by McConnell",conservative
0,0,0,5,0,0,Israeli Supreme Court Strikes Down Controversial Judicial Reform,liberal
0,0,0,8,0,8,Israeli Supreme Court Strikes Down Controversial Judicial Reform,center
0,0,5,8,0,0,Israeli Supreme Court Strikes Down Controversial Judicial Reform,conservative
0,0,0,8,0,0,"Justice Alito Reflects on Current Events, Drawing Different Reactions",liberal
0,0,0,0,0,5,"Justice Alito Reflects on Current Events, Drawing Different Reactions",center
0,5,0,8,0,8,"Justice Alito Reflects on Current Events, Drawing Different Reactions",conservative
0,8,5,8,0,0,"Full Trump Indictment Released, 37 Charges Detailed",liberal
0,8,0,8,0,0,"Full Trump Indictment Released, 37 Charges Detailed",center
0,0,5,8,0,0,"Full Trump Indictment Released, 37 Charges Detailed",conservative
0,0,0,8,0,0,"Meta Shuts Down Nearly 9,000 Facebook and Instagram Accounts",liberal
2,0,0,0,0,0,"Meta Shuts Down Nearly 9,000 Facebook and Instagram Accounts",center
0,0,0,5,0,0,"Meta Shuts Down Nearly 9,000 Facebook and Instagram Accounts",conservative
0,2,1,0,0,0,Senate Passes Bipartisan $1.2T Infrastructure Bill,liberal
0,2,0,0,0,0,Senate Passes Bipartisan $1.2T Infrastructure Bill,center
0,0,0,0,0,0,Senate Passes Bipartisan $1.2T Infrastructure Bill,conservative
0,0,0,0,0,0,White House Afghanistan Report Says Trump 'Severely Constrained' Withdrawal Options,liberal
0,5,0,0,0,0,White House Afghanistan Report Says Trump 'Severely Constrained' Withdrawal Options,center
2,0,0,0,0,0,White House Afghanistan Report Says Trump 'Severely Constrained' Withdrawal Options,conservative
0,0,0,8,0,5,DHS Reportedly Steps Up Counter-Disinformation Efforts,liberal
0,0,0,8,0,0,DHS Reportedly Steps Up Counter-Disinformation Efforts,center
0,0,0,5,0,0,DHS Reportedly Steps Up Counter-Disinformation Efforts,conservative
0,0,0,0,0,5,"Did DEI Play a Role in the DC Plane Crash, as Trump Suggested?",liberal
0,2,0,5,0,0,"Did DEI Play a Role in the DC Plane Crash, as Trump Suggested?",center
8,0,0,0,0,0,"Did DEI Play a Role in the DC Plane Crash, as Trump Suggested?",conservative
0,0,0,0,0,0,TSA Reports Record Number of Guns Confiscated from Airline Passengers in 2022,liberal
0,0,0,0,0,0,TSA Reports Record Number of Guns Confiscated from Airline Passengers in 2022,center
5,0,0,0,0,0,TSA Reports Record Number of Guns Confiscated from Airline Passengers in 2022,conservative
2,0,0,8,0,0,Conflicting Reports on Release of New CDC Guidelines,liberal
5,0,0,0,0,0,Conflicting Reports on Release of New CDC Guidelines,center
0,5,0,5,0,0,Conflicting Reports on Release of New CDC Guidelines,conservative
0,0,0,0,0,0,"July 4 Was World’s Hottest Day on Record, Early Data Shows",liberal
0,0,0,0,0,0,"July 4 Was World’s Hottest Day on Record, Early Data Shows",center
0,0,0,0,0,0,"July 4 Was World’s Hottest Day on Record, Early Data Shows",conservative
0,0,0,5,0,5,Google Restricts Gemini AI From Answering Election-Related Queries,liberal
2,0,0,0,0,2,Google Restricts Gemini AI From Answering Election-Related Queries,center
0,0,2,5,0,0,Google Restricts Gemini AI From Answering Election-Related Queries,conservative
0,0,0,0,0,0,CDC Announces Organizational Changes After Not Meeting 'Expectations' During Pandemic,liberal
0,0,0,0,0,0,CDC Announces Organizational Changes After Not Meeting 'Expectations' During Pandemic,center
0,2,0,8,0,0,CDC Announces Organizational Changes After Not Meeting 'Expectations' During Pandemic,conservative
0,0,0,5,0,0,DOJ Says Classified Documents at Mar-a-Lago 'Likely Concealed and Removed’,liberal
0,0,0,8,0,5,DOJ Says Classified Documents at Mar-a-Lago 'Likely Concealed and Removed’,center
0,0,0,8,0,5,DOJ Says Classified Documents at Mar-a-Lago 'Likely Concealed and Removed’,conservative
2,0,8,0,0,0,Former Biden Family Business Associate Says Joe Biden Was 'The Family Business',liberal
0,0,5,8,0,0,Former Biden Family Business Associate Says Joe Biden Was 'The Family Business',center
0,0,0,5,0,0,Former Biden Family Business Associate Says Joe Biden Was 'The Family Business',conservative
0,0,0,8,0,0,House GOP Criticizes Biden Admin in Long-Awaited Afghanistan Report,liberal
5,0,0,0,0,0,House GOP Criticizes Biden Admin in Long-Awaited Afghanistan Report,center
5,0,0,5,0,0,House GOP Criticizes Biden Admin in Long-Awaited Afghanistan Report,conservative
0,0,0,0,0,5,US National Debt Tops $31 Trillion for First Time,liberal
0,0,0,0,0,5,US National Debt Tops $31 Trillion for First Time,center
0,2,0,0,0,0,US National Debt Tops $31 Trillion for First Time,conservative
