node_1|node_2|edge|chunk_id
left-wing extremists|tesla gigafactory|The left-wing extremist group Vulkangruppe Tesla Abschalten claimed responsibility for an arson attack at the Tesla Gigafactory outside of Berlin. The group aims to cause the largest possible blackout of the factory due to environmental and labor concerns.|76742449c24e43d09731f5da10b8d0de
tesla gigafactory|production|Production at the Tesla Gigafactory was halted due to the suspected arson attack carried out by a left-wing extremist group called Vulkangruppe Tesla Abschalten.|76742449c24e43d09731f5da10b8d0de
fani t. willis|outside prosecutor|Fani T. Willis admitted to having a personal relationship with an outside prosecutor she appointed to manage the election interference case against former president Donald Trump and his allies. She denied claims that the relationship had tainted the proceedings in a 176-page court filing on Friday, calling the accusations ‘meritless’ and ‘salacious’. Willis asked a judge to reject motions from Trump and other co-defendants seeking to disqualify her and her office from the case without an evidentiary hearing.|d770d64364dc421d93c2f6d1c63e4916
election interference case|former president donald trump|The election interference case against former president Donald Trump and his allies was managed by an outside prosecutor appointed by Fani T. Willis, the District Attorney for Fulton County.|d770d64364dc421d93c2f6d1c63e4916
president joe biden|federal safety standard|proposed a new rule to address excessive heat in the workplace, which would protect an estimated 36 million U.S. workers from injuries related to heat exposure on the job, establishing the first major federal safety standard of its kind.|be9728b8adea46779b41fb033bc52b54
excessive heat|leading weather-related killer|President Joe Biden warned that high temperatures are the country’s leading weather-related killer, as tens of millions of people in the U.S. Are under heat advisories.|be9728b8adea46779b41fb033bc52b54
farmworkers|delivery and construction workers|landscapers and indoor workers in warehouses, factories are affected by excessive heat in the workplace, including farmworkers, delivery and construction workers, landscapers and indoor workers in warehouses, factories...|be9728b8adea46779b41fb033bc52b54
former president trump|jan. 6 insurrection|Trump can be sued for allegedly inciting violence during the Jan. 6 insurrection at the Capitol, as his re-election campaign was not an official presidential act, which means he is not protected by presidential immunity.|b31d98f9c4314879b999442e79adc707
former president trump|2024 presidential candidate|Trump's re-election campaign was 'not an official presidential act,' according to a three-judge panel on the U.S. Court of Appeals for the District of Columbia, meaning he is not protected by presidential immunity regarding remarks made before the attack.|b31d98f9c4314879b999442e79adc707
office of the presidency|former president trump|The Office of the Presidency as an institution is agnostic about who will occupy it next, according to Chief Judge Sri Srinivasan.|b31d98f9c4314879b999442e79adc707
office of the presidency|2024 presidential candidate|The Office of the Presidency as an institution is agnostic about who will occupy it next, according to Chief Judge Sri Srinivasan.|b31d98f9c4314879b999442e79adc707
wearing a mask on long flights|biden administration's public transportation mask mandate|The author hates both due to perceived unnecessary restrictions during air travel and public transit.|3542645537814165887a7deb4bab75fb
biden administration's public transportation mask mandate|older adults, the ill and the immunocompromised|The judge's decision to declare the mandate unenforceable is particularly disastrous for these vulnerable populations who still face risks due to lack of masks on airplanes and other forms of mass transit.|3542645537814165887a7deb4bab75fb
project veritas|twitter|Twitter permanently banned an account belonging to Project Veritas for repeated violations of its policies prohibiting sharing other people's private information without consent.|237069965abf48cdaedcbf7d0f7e0469
twitter|twitter's policies|Twitter enforces policies prohibiting sharing other people's private information without consent.|237069965abf48cdaedcbf7d0f7e0469
project veritas|video|Project Veritas published a video...|237069965abf48cdaedcbf7d0f7e0469
biden administration|russia|The Biden administration has accused Russia of carrying out a sustained disinformation campaign targeted at American voters and meant to influence the outcome of November’s presidential elections.|0d331f3da1994491b29455abd13db954
rt (formerly known as russia today)|russia|The treasury department also sanctioned RT's editor-in-chief, Margarita Simonyan, and nine other employees of the network over the campaign of disinformation around...|0d331f3da1994491b29455abd13db954
pro-kremlin views|russia|...promoting pro-Kremlin views laundered through their online and television networks.|0d331f3da1994491b29455abd13db954
rep. daniel goldman|president-elect donald trump|Accused Trump of being Elon Musk's 'puppet'|3a71ae17e1f447b8a75b81fae0cf2cc3
elon musk|house rs on government funding|Calling the shots for House Rs on government funding|3a71ae17e1f447b8a75b81fae0cf2cc3
trump|mar-a-lago|Hiding in Mar-a-Lago behind his handlers|3a71ae17e1f447b8a75b81fae0cf2cc3
goldman|mike johnson|Accusing House Speaker Mike Johnson of continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
musk|house rs on government funding|Opposing House Speaker Mike Johnson’s continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
goldman|elon musk|Comparing Elon Musk to a 'shadow Pres-Elect'|3a71ae17e1f447b8a75b81fae0cf2cc3
trump|mar-a-lago|Goldman's claim that Trump is hiding in Mar-a-Lago behind his handlers|3a71ae17e1f447b8a75b81fae0cf2cc3
musk|absolutely, this bill should not pass|Declaring 'Absolutely, this bill should NOT pass' regarding House Speaker Mike Johnson’s continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
goldman|mike johnson's continuing resolution to keep the government open|Accusing House Speaker Mike Johnson of continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
trump|mar-a-lago|Goldman's claim that Trump is hiding in Mar-a-Lago behind his handlers regarding Musk's opposition to House Speaker Mike Johnson’s continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
musk|house rs on government funding|Calling the shots for House Rs on government funding regarding Musk's opposition to House Speaker Mike Johnson’s continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
goldman|mike johnson's continuing resolution to keep the government open|Comparing House Speaker Mike Johnson's continuing resolution to keep the government open to an 'insane crime against the American people'|3a71ae17e1f447b8a75b81fae0cf2cc3
musk|goldman|Accused by Goldman of being a 'puppet' for Trump|3a71ae17e1f447b8a75b81fae0cf2cc3
trump|mar-a-lago|Goldman's claim that Trump is hiding in Mar-a-Lago behind his handlers regarding Musk's opposition to House Speaker Mike Johnson’s continuing resolution to keep the government open|3a71ae17e1f447b8a75b81fae0cf2cc3
musk|house rs on government funding|Opposing House Speaker Mike Johnson’s continuing resolution to keep the government open in response to Goldman's accusation of being a 'puppet'|3a71ae17e1f447b8a75b81fae0cf2cc3
goldman|trump|Comparing Trump to Elon Musk as a 'shadow Pres-Elect'|3a71ae17e1f447b8a75b81fae0cf2cc3
new york's requirement that health care workers be vaccinated against the coronavirus|religious objections|The Supreme Court refused to block New York’s requirement that health care workers be vaccinated against the coronavirus even when they cite religious objections. Justice Neil M. Gorsuch filed a 14-page dissent saying that the majority had betrayed the court’s commitment to religious liberty.|24e475b29cf04b99a37e6df34f270140
new york's requirement that health care workers be vaccinated against the coronavirus|religious freedom|Justice Samuel A. Alito Jr. Joined Justice Gorsuch’s dissent saying that he would have blocked the vaccine requirement, but he gave no reasons.|24e475b29cf04b99a37e6df34f270140
new york's requirement that health care workers be vaccinated against the coronavirus|supreme court's commitment to religious liberty|Justice Clarence Thomas also said he would have blocked the vaccine requirement, but he gave no reasons.|24e475b29cf04b99a37e6df34f270140
house republicans|democrats no longer have one-party rule in washington|Now that Democrats no longer have one-party rule in Washington, oversight and accountability are coming.|c13bc6b749914462bd9ba65495366145
representative james comer|house oversight committee|Chairman of the House Oversight Committee|c13bc6b749914462bd9ba65495366145
house republicans|treasury department|Sent a series of letters requesting financial information from the Treasury Department about financial transactions by members of...|c13bc6b749914462bd9ba65495366145
justice department|law enforcement response|The Justice Department announced on Sunday that it will review the law enforcement response to the Texas school shooting, prompted by questions about the shifting and at times contradictory information from authorities. The review will be conducted in a fair, impartial and independent manner, and the findings will be made public.|8a15650a3f5d438caa625aee6805ed79
justice department|fair, impartial and independent manner|Department spokesman Anthony Coley stated that the review would be conducted in a fair, impartial and independent manner.|8a15650a3f5d438caa625aee6805ed79
texas school shooting|justice department|The Justice Department announced on Sunday that it will review the law enforcement response to the Texas school shooting...|8a15650a3f5d438caa625aee6805ed79
authorities|shifting and at times contradictory information|Authorities have faced questions about the shifting and at times contradictory information regarding the incident.|8a15650a3f5d438caa625aee6805ed79
president joe biden|memorial to the 19 students|While President Joe Biden visited Uvalde, he and First Lady Jill Biden paid their respects at a memorial to the 19 students who lost their lives in the shooting.|8a15650a3f5d438caa625aee6805ed79
president joe biden|texas school shooting|During his visit to Uvalde, President Joe Biden also visited the site of the Texas school shooting...|8a15650a3f5d438caa625aee6805ed79
trump's inability to stay on message and stay away from conspiracy theories|targeting momentum of vice president kamala harris|Donors and allies of former President Donald Trump are concerned that his inability to stay on message and stay away from conspiracy theories is stunting his chances of targeting the momentum of Vice President Kamala Harris.|a8589aff737a433da1bef0c5a91a998b
trump's conspiratorial messages and insults based on race|unproductive|Allies of Trump see his conspiratorial messages and insults based on race as anything but productive.|a8589aff737a433da1bef0c5a91a998b
pelosi's taiwan visit|hostile reaction from china's communist government|Caused the cutting off of contacts with the United States on vital issues, including military matters and crucial climate cooperation.|f46266941fa74159aa3d5265e77f94cc
china's hostile reaction to pelosi's taiwan visit|worsening of relations|Compounded by China's military exercises off Taiwan, including firing missiles that splashed down in surrounding waters.|f46266941fa74159aa3d5265e77f94cc
white house|summoning...|In response to China's hostile reaction to Pelosi's Taiwan visit and military exercises off Taiwan.|f46266941fa74159aa3d5265e77f94cc
taliban takeover of afghanistan|afghan military|Intelligence reports in July raised concerns about the rapid collapse of the Afghan military and questioned whether any Afghan security forces would muster serious resistance against the Taliban takeover of Afghanistan.|2f6a4762720f4ebc933928025db9e78f
afghan government|taliban takeover of afghanistan|President Biden and his advisers said publicly that a Taliban takeover of Afghanistan was unlikely to happen as quickly, but intelligence reports in July raised doubts about whether the Afghan government could hold on in Kabul, the capital.|2f6a4762720f4ebc933928025db9e78f
dr. anthony fauci|covid-19 pandemic|Dr. Anthony Fauci, the top U.S. infectious disease expert until leaving the government in 2022, played a significant role in addressing the COVID-19 pandemic.|e9879b501ee94c45a2671fac7ccdab88
republican lawmakers|dr. anthony fauci|Republican lawmakers posed heated questioning to Dr. Anthony Fauci about the origins of the COVID-19 pandemic during a hearing.|e9879b501ee94c45a2671fac7ccdab88
covid-19 pandemic|u.s.-funded research in china|Some Republicans have alleged that U.S.-funded research in China may have played a role in how the COVID-19 pandemic started.|e9879b501ee94c45a2671fac7ccdab88
dr. anthony fauci|u.s.-funded research in china|During the hearing, Dr. Anthony Fauci denied any wrongdoing related to U.S.-funded research in China and its potential role in the origins of the COVID-19 pandemic.|e9879b501ee94c45a2671fac7ccdab88
democrats|dr. anthony fauci|Democrats defended Dr. Anthony Fauci's actions during the hearing, stating that he did nothing wrong and missed an important opportunity to prepare for the next scary outbreak.|e9879b501ee94c45a2671fac7ccdab88
republican-led subcommittee|covid-19 pandemic|The Republican-led subcommittee has been investigating the nation’s response to the COVID-19 pandemic and the role of U.S.-funded research in China for over a year.|e9879b501ee94c45a2671fac7ccdab88
dr. anthony fauci|trusted...|Dr. Anthony Fauci, the top U.S. infectious disease expert until leaving the government in 2022, has been considered a trusted figure in addressing the COVID-19 pandemic.|e9879b501ee94c45a2671fac7ccdab88
assault weapons|failed experiment|California's three-decade-old ban on assault weapons has been overturned by a federal judge in California, who called it a 'failed experiment'. The judge, Roger T. Benitez of the U.S. District Court for the Southern District of California, wrote that sections of the law were an infringement on the Second Amendment right to bear arms.|fc09e7dc1e244b69963dc133e868aba3
california|assault weapons|California's three-decade-old ban on assault weapons has been overturned by a federal judge in California, who called it a 'failed experiment'. The law prohibiting the sale of assault weapons in 1989 was challenged in a suit filed in 2019 against the state’s attorney general by plaintiffs including James Miller, a California resident, and the San Diego County Gun Owners, a political action committee.|fc09e7dc1e244b69963dc133e868aba3
california|failed experiment|California's three-decade-old ban on assault weapons has been overturned by a federal judge in California, who called it a 'failed experiment'. Governor Gavin Newsom responded sharply to the ruling, stating that the state would appeal the decision and continue enforcing the law.|fc09e7dc1e244b69963dc133e868aba3
russian aircraft|american f-16 warplanes|Two American F-16 warplanes intercepted four Russian aircraft near Alaska according to a statement released by the joint US-Canadian North American Aerospace Defense Command (NORAD) on Tuesday. The Russian planes included Tu-95 bombers and Su-35 fighter aircraft and remained in international airspace, not entering American or Canadian sovereign airspace, which NORAD described as a routine activity that 'occurs regularly' and is 'not seen as a threat, nor is the activity seen as provocative.'|88763b79f3db4083a401b2fa10c300a8
air defense identification zone|american f-16 warplanes|The incident occurred in an Air Defense Identification Zone (ADIZ) which covers part of Alaska's airspace, the statement continued.|88763b79f3db4083a401b2fa10c300a8
hamas' attacks in israel last month|presence of photographers working for the associated press and reuters at breached border fence between gaza and israel early in the early morning of oct. 7|raises serious ethical questions about how the journalists were able to be at the breached border fence as Hamas gunmen launched their assault, and whether they had prior knowledge or possibly even coordinated with Hamas in order to document the carnage.|3b6bcfcfe0fd4d56aeb4e87683b56d50
hunter biden|burisma|Served as a board member for Burisma, which was the focus of allegations of bribery against Hunter Biden.|91474eaa930040e2ac419221869d230b
devon archer|hunter biden|Former business partner with Hunter Biden. Testified before investigators working for the House Oversight Committee that Hunter Biden's position on the board of Burisma raised concerns about a potential conflict of interest due to Joe Biden's role as Vice President.|91474eaa930040e2ac419221869d230b
burisma|allegations of bribery against the company and its associates, including hunter biden and devon archer.|At the center of allegations of bribery, which were investigated by investigators working for the House Oversight Committee. Testimony from Devon Archer provided more credibility to these allegations.|91474eaa930040e2ac419221869d230b
joe manchin|senate republicans|Senate Republicans spent months praising Joe Manchin for his insistence on cross-party compromise. However, next week they are likely to oppose his bipartisan deal on elections, potentially dooming Manchin's proposals before they can even make it into the bill.|4f12d570f1054f74831efc0353d23202
joe manchin|slimmed-down elections compromise|Joe Manchin’s slimmed-down elections compromise, which focuses on expanding early voting and ending partisan gerrymandering in federal elections, is likely to face opposition from all 50 Republicans.|4f12d570f1054f74831efc0353d23202
israel's supreme court|judicial overhaul|The judicial overhaul proposed by the Netanyahu government is a part of Israel's Supreme Court's functions, which has been narrowly struck down by the court itself. This ruling could potentially lead to further constitutional and political crises in Israel.|ff51b4dd96b6497594885237f9a11138
israel's supreme court|court's ability to review government decisions|The recent decision by Israel's Supreme Court has limited its own ability to review government decisions, which could have significant implications for the country's constitutional and political landscape.|ff51b4dd96b6497594885237f9a11138
israel's prime minister benjamin netanyahu|strong reaction|Following the Supreme Court's ruling, a strong response by Israeli Prime Minister Benjamin Netanyahu and his radical right-wing political allies could potentially exacerbate the ongoing constitutional and political crisis in Israel.|ff51b4dd96b6497594885237f9a11138
benny gantz|leave the emergency unity government|Former Defense Minister Benny Gantz, who is currently part of the emergency unity government formed after the Oct. 7 attack, could potentially leave this coalition in response to the ongoing constitutional and political crisis caused by Netanyahu's actions.|ff51b4dd96b6497594885237f9a11138
israel|constitutional and political crisis|The recent Supreme Court ruling and potential strong reactions from Netanyahu and his allies could thrust Israel back into a constitutional and political crisis, exacerbated by ongoing conflicts in Gaza and Lebanon.|ff51b4dd96b6497594885237f9a11138
oct. 7 attack|emergency unity government|The Oct. 7 attack led to the formation of an emergency unity government, which Benny Gantz is currently a part of.|ff51b4dd96b6497594885237f9a11138
israel's supreme court|netanyahu government's judicial overhaul|The Netanyahu government's proposed judicial overhaul is a part of Israel's Supreme Court's functions, which has been narrowly struck down by the court itself.|ff51b4dd96b6497594885237f9a11138
israel|war in gaza|Ongoing conflicts in Gaza are compounding the constitutional and political crises currently affecting Israel.|ff51b4dd96b6497594885237f9a11138
israel|lebanon|Concerns about a potential war with Lebanon could further escalate the ongoing constitutional and political crisis in Israel.|ff51b4dd96b6497594885237f9a11138
justice sam alito|democrats|In his keynote address at this year’s Federalist Society National Lawyers Convention, Justice Sam Alito delivered a grievance-laden tirade against Democrats.|15612536126442298addc9980f683862
justice sam alito|progressive movement|In his keynote address at this year’s Federalist Society National Lawyers Convention, Justice Sam Alito delivered a grievance-laden tirade against the progressive movement.|15612536126442298addc9980f683862
justice sam alito|united states' response to the covid-19|In his keynote address at this year’s Federalist Society National Lawyers Convention, Justice Sam Alito criticized the United States' response to the COVID-19.|15612536126442298addc9980f683862
justice sam alito|federalist society|Justice Sam Alito spoke at this year’s Federalist Society National Lawyers Convention, a well-funded network of conservative attorneys.|15612536126442298addc9980f683862
democrats|conservative attorneys|The Federalist Society, a well-funded network of conservative attorneys, has come under unusual scrutiny after Donald Trump elevated scores of its members to the federal judiciary.|15612536126442298addc9980f683862
classified material|united states nuclear programs|Federal prosecutors have charged Donald Trump and his personal aide with mishandling classified information, including documents related to sensitive US nuclear programs. The indictment alleges that the former president removed these materials from the White House and failed to take appropriate measures to protect their secrecy.|97a9bf32fa0a40768d96f591948972ce
classified material|potential vulnerabilities of the united states and its allies to military...|The indictment also reveals that Trump had access to intelligence about potential security weaknesses in US and allied defenses. These documents were intended for highly restricted audiences, but the former president reportedly took them with him after leaving the White House.|97a9bf32fa0a40768d96f591948972ce
spamouflage|chinese political spam network|Meta began investigating in 2019 a Chinese political spam network that had targeted users in Australia and other parts of the world. This network falls under the term Spamouflage, which has been coined by several research groups including the Australian Strategic Policy Institute (Aspi).|8406f0ae0b4046038417d9eaf287673a
spamouflage|meta|Meta revealed in a report released on Tuesday that it had removed 7,704 Facebook accounts, 954 pages, 15 groups and 15 Instagram accounts identified as violating the company’s inauthentic behaviour linked to this Spamouflage network.|8406f0ae0b4046038417d9eaf287673a
washington|infrastructure|The Senate voted to approve a roughly $1 trillion bill to revamp the nation's infrastructure on Tuesday in Washington.|f303220bdd0946e29addb7ee7b0ed69b
president biden's|domestic agenda|includes key portions of President Biden's domestic agenda.|f303220bdd0946e29addb7ee7b0ed69b
senate minority leader mitch mcconnell |voted yes|Mitch McConnell was among the Republicans who voted yes.|f303220bdd0946e29addb7ee7b0ed69b
infrastructure investment and jobs act|legislation|The legislation, known as the Infrastructure Investment and Jobs Act,|f303220bdd0946e29addb7ee7b0ed69b
u.s. evacuations from afghanistan in 2021|earlier evacuations|The U.S. acknowledged that earlier evacuations should have begun during the U.S. evacuations from Afghanistan in 2021, according to a newly released National Security Council document outlining key moments. The Afghanistan withdrawal changed the U.S. protocol on evacuations during other global conflicts, per the NSC's summary of the Biden administration's review of the withdrawal released Thursday.|6d4bd4e929264347ade138a800777576
dhs|influence tech platforms|The Department of Homeland Security (DHS) is expanding its efforts to curb dangerous speech by influencing technology platforms, as revealed through internal memos, emails, and documents obtained through leaks and a lawsuit, as well as public sources.|e6377548caf44e95bfd61cb7f2fb3bb9
disinformation|misinformation|The term 'disinformation' refers to information spread intentionally, while 'misinformation' denotes false information spread unintentionally. Both are being targeted by DHS in their efforts against dangerous speech.|e6377548caf44e95bfd61cb7f2fb3bb9
disinformation governance board|dhs|The Disinformation Governance Board, a panel created by DHS to combat misinformation, is part of the agency's broader efforts to counter dangerous speech.|e6377548caf44e95bfd61cb7f2fb3bb9
tech platforms|influence|DHS is working to influence technology platforms as a means of curbing dangerous speech, according to internal documents obtained through leaks and lawsuits.|e6377548caf44e95bfd61cb7f2fb3bb9
diversity hiring initiatives|plane-helicopter collision|President Trump suggested that diversity hiring initiatives could have contributed to the plane-helicopter collision near Ronald Reagan National Airport. This statement is not supported by evidence, and the investigation into the cause of the crash is ongoing.|133d4af65cdb43c79b609222eb7d1c09
air traffic controllers|serious health issues and disabilities|President Trump claimed that air traffic controllers are allowed to work with serious health issues and disabilities. The USA TODAY Fact Check Team found that while federal law allows for accommodations to be made for employees with disabilities, these accommodations must not impair the employee's ability to perform their job safely and effectively.|133d4af65cdb43c79b609222eb7d1c09
transportation security administration officers|firearms|Transportation Security Administration officers confiscate firearms from airport passengers.|2737ff659d5a4a2c8971e0ec7cf6d3d5
transportation security administration officers|maximum civil penalty for a firearms violation|Transportation Security Administration raises maximum civil penalty for a firearms violation.|2737ff659d5a4a2c8971e0ec7cf6d3d5
firearms|airport passengers|Firearms are confiscated from airport passengers by Transportation Security Administration officers.|2737ff659d5a4a2c8971e0ec7cf6d3d5
loaded firearms|firearms|Of the firearms confiscated, 88% were loaded.|2737ff659d5a4a2c8971e0ec7cf6d3d5
2022|confiscated firearms|In 2022, Transportation Security Administration officers confiscated more than 6,542 firearms from airport passengers, the highest number recorded since its inception.|2737ff659d5a4a2c8971e0ec7cf6d3d5
airport checkpoints|confiscated firearms|The majority of confiscated firearms, 6,542, were taken at airport security checkpoints.|2737ff659d5a4a2c8971e0ec7cf6d3d5
reopening economy|trump, president|President Trump is pushing for the reopening of the economy.|717ce9baa0eb4eed9b0754070d2ee644
cdc|battle|The White House is engaged in a conflict with the Centers for Disease Control and Prevention over the agency's detailed guidelines for reopening establishments.|717ce9baa0eb4eed9b0754070d2ee644
cdc guidelines|recommendations|The CDC's guidelines for safely reopening various establishments include recommendations such as using disposable dishes and utensils at restaurants.|717ce9baa0eb4eed9b0754070d2ee644
child care programs|cdc guidelines|The CDC's guidelines for safely reopening child care programs are included in the document obtained by The New York Times.|717ce9baa0eb4eed9b0754070d2ee644
